Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

492,490,493,609,492
492,491,493,525,491
494,492,493,3494,493
629,490,493,491,493
620,491,495,492,493
582,491,492,492,494
490,491,493,493,492
417,490,493,2,494
493,629,490,493,491
493,620,491,495,492
493,582,491,492,492
494,490,491,493,493
492,417,490,493,493
493,386,493,493,491
493,375,490,494,492
493,380,490,494,492
492,397,492,495,491
491,439,491,494,492
492,495,491,492,492
493,560,492,492,490
492,621,491,494,492
494,626,490,492,493
494,616,490,493,494
494,548,490,494,493
493,451,490,493,492
493,403,491,494,493
492,376,492,493,493
494,378,492,494,491
492,386,492,494,491
492,410,492,493,492
492,463,490,493,491
492,520,491,492,492
492,597,490,492,491
494,629,490,493,492
493,623,491,495,494
493,595,490,493,492
494,505,493,495,493
492,420,491,494,493
492,391,492,495,492
492,376,493,493,491
492,381,491,493,491
492,393,490,494,490
493,431,491,494,493
492,487,490,492,491
493,551,490,491,492
493,614,490,494,493
492,628,490,494,493
492,616,490,491,492
491,564,492,495,493
493,460,490,494,492
492,408,492,493,492
491,376,493,492,491
492,374,490,494,493
492,387,490,492,493
494,407,492,494,491
493,455,490,492,491
493,513,490,494,492
492,585,491,494,494
494,626,491,492,491
492,625,493,494,493
494,604,494,494,491
493,518,493,494,492
492,429,492,493,492
493,392,491,495,494
492,374,490,492,492
492,380,491,493,494
493,391,489,493,493
493,427,490,493,492
492,480,490,493,492
491,543,490,491,491
493,610,491,493,491
492,628,490,493,493
493,619,491,491,490
493,572,492,493,492
493,474,491,493,493
493,413,491,494,491
494,378,490,494,490
492,376,490,494,492
493,385,490,494,491
491,402,490,495,492
492,448,490,492,492
492,507,491,493,491
493,574,489,493,490
492,624,491,492,491
494,625,490,492,491
494,610,490,492,492
492,530,491,493,492
493,437,491,494,492
492,397,490,494,494
494,376,491,494,493
491,380,491,495,491
491,388,491,495,491
494,418,489,492,491
492,474,491,493,492
493,533,491,492,491
492,605,491,492,490
493,627,490,493,492
494,620,492,493,491
492,581,490,494,493
493,486,493,495,493
494,416,490,494,493
492,385,491,495,493
491,375,491,494,493
494,382,489,492,490
492,397,489,493,493
492,441,491,493,491
492,500,490,492,491
493,562,490,492,492
493,624,491,494,491
493,628,490,494,490
493,612,492,494,494
492,543,491,494,493
492,446,491,493,493
492,401,491,494,492
492,377,489,493,492
494,378,492,493,490
492,386,490,495,491
494,411,490,492,491
493,466,491,493,491
