Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

4494,491,374,492,493
492,494,381,492,493
490,492,405,493,492
4,491,495,404,491
493,493,493,373,493
492,494,491,374,492
493,492,494,381,492
493,490,492,405,493
492,492,492,455,492
493,491,493,514,491
493,491,492,589,491
492,491,492,632,492
493,493,494,628,491
492,492,493,607,491
494,493,493,517,491
494,493,493,429,491
493,492,493,390,492
494,491,492,371,490
494,493,494,376,492
492,491,494,385,491
492,491,495,424,490
492,492,493,484,491
494,492,493,546,491
492,491,494,616,491
494,491,492,634,492
494,490,492,622,493
493,490,492,575,491
493,493,494,473,493
494,492,493,410,491
494,491,494,375,491
492,491,494,371,491
493,493,493,380,490
493,491,493,400,492
494,492,492,449,491
493,491,493,510,491
493,491,492,581,493
493,490,491,629,492
493,491,494,628,492
492,491,492,616,492
495,491,495,528,492
494,492,494,436,491
492,492,493,396,492
494,493,492,372,491
494,492,491,376,490
492,492,494,386,492
495,491,495,417,491
493,491,493,475,492
493,492,493,535,491
492,491,495,609,491
492,491,492,636,492
493,491,493,625,491
492,490,493,585,492
495,492,492,487,492
493,491,492,414,492
493,491,492,379,490
493,493,493,372,492
492,491,492,380,491
492,492,495,394,490
492,491,494,442,491
492,491,493,501,491
492,493,493,568,491
492,490,493,628,492
494,491,494,630,490
493,490,492,620,493
494,490,493,543,492
493,491,493,447,491
493,493,493,401,491
492,491,494,370,492
494,491,492,375,490
493,492,493,385,492
494,492,493,411,491
493,493,493,466,492
493,492,493,526,492
494,493,494,602,490
493,491,494,633,491
492,492,494,625,491
493,492,494,590,491
495,492,493,500,492
493,492,493,419,492
493,491,493,385,491
493,493,493,373,492
494,491,492,379,492
494,491,492,389,493
493,494,493,435,491
493,491,492,492,490
493,492,492,557,490
491,491,494,622,490
493,491,494,632,491
494,493,493,620,491
493,491,492,559,492
495,493,493,454,491
493,492,493,404,491
493,491,492,373,493
493,493,492,372,492
494,492,492,384,491
493,491,495,407,493
494,492,494,460,491
493,492,494,518,492
494,492,493,595,491
494,493,494,631,490
492,490,493,628,493
493,493,493,602,493
492,491,493,512,492
493,491,493,425,492
493,491,493,389,490
492,491,495,374,492
493,490,493,378,490
494,490,493,387,491
494,491,492,430,491
493,491,492,486,491
494,492,491,548,491
492,492,494,616,492
492,490,493,633,491
494,493,494,620,490
491,491,495,569,491
493,491,493,468,491
493,492,492,409,492
493,492,494,374,490
493,490,492,371,490
494,492,493,382,491
494,492,491,404,492
494,491,492,451,491
492,491,493,512,492
493,491,493,584,490
494,490,493,629,491
491,492,494,628,489
492,491,494,610,491
492,493,494,525,491
493,492,492,433,492
492,492,492,393,492
492,491,493,374,491
493,491,491,377,492
493,491,491,385,492
494,491,494,420,490
492,490,492,478,491
493,492,493,539,491
491,491,493,612,491
491,491,493,632,491
493,492,493,623,492
493,490,493,582,491
493,492,492,481,492
494,492,493,413,491
493,492,492,379,491
495,492,491,372,492
494,493,494,379,490
492,490,493,395,490
494,492,492,444,491
493,491,493,504,492
492,491,494,571,491
492,491,495,628,490
493,492,494,630,491
491,492,492,618,491
492,490,494,536,491
492,494,493,442,491
494,492,492,398,492
495,491,491,373,490
493,493,493,375,492
492,491,492,384,491
494,491,493,411,490
492,491,493,469,491
492,491,493,527,490
492,491,491,607,492
491,492,492,634,491
492,491,494,627,492
494,492,492,590,491
495,491,493,493,492
494,491,493,415,490
493,492,492,383,493
492,492,493,371,491
492,491,494,377,490
492,492,494,390,490
492,491,494,437,491
493,491,493,495,492
493,491,493,563,490
493,493,493,624,491
492,492,492,633,492
494,491,492,620,492
494,492,492,554,492
494,492,494,452,491
493,491,492,401,491
494,493,492,371,492
492,492,493,372,491
492,492,494,382,490
492,491,494,409,491
492,491,494,463,490
492,491,491,521,491
493,493,492,599,490
493,492,492,634,492
494,493,492,627,492
493,493,494,597,493
493,490,493,507,491
493,492,493,421,492
493,491,494,386,491
492,490,494,371,490
493,492,494,376,490
493,491,493,389,493
493,494,493,432,492
493,492,493,488,491
494,493,493,554,492
494,491,492,621,493
494,491,493,633,490
493,493,493,621,491
492,493,493,566,492
493,493,494,463,492
493,492,493,406,491
492,491,494,372,491
495,491,492,374,490
492,492,493,382,492
493,490,493,405,490
493,493,493,455,490
492,491,493,513,491
493,490,494,585,490
491,491,492,632,492
492,492,493,628,492
492,491,494,609,492
492,490,494,520,492
492,492,493,430,492
492,491,493,394,492
494,491,495,372,490
493,490,492,376,492
493,493,492,388,491
493,494,492,425,492
494,491,492,480,492
494,491,494,542,492
493,490,493,615,491
494,492,493,632,491
492,491,494,623,490
492,491,495,576,491
493,492,492,477,492
494,492,494,412,491
493,489,492,377,490
493,494,493,373,491
493,492,492,383,491
494,490,492,399,490
492,491,493,448,491
494,492,492,506,491
492,491,492,577,492
492,490,493,629,491
492,490,494,629,491
492,492,494,614,491
495,492,492,536,491
493,491,493,438,492
494,491,492,397,490
494,493,493,374,491
493,491,492,377,492
494,491,494,384,489
492,490,492,416,492
494,492,493,472,491
493,492,493,533,491
492,491,494,608,491
492,491,494,633,492
493,490,493,626,490
493,493,493,584,493
493,493,493,489,491
494,492,493,416,491
494,492,492,383,492
495,491,493,370,490
493,489,493,379,490
493,492,492,392,492
492,490,493,440,491
