Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

491,493,492,494,402
490,493,493,494,368
489,493,493,7492,492
492,492,367,9,491
492,491,494,571,491
493,492,493,466,492
493,492,492,404,491
493,493,493,368,492
492,492,492,367,492
495,492,491,374,492
494,491,492,397,492
494,492,494,451,490
494,491,492,513,490
493,492,492,591,491
491,491,493,637,490
493,493,493,636,490
493,493,494,619,494
493,490,493,523,491
494,492,493,429,491
494,492,492,390,492
495,491,491,367,492
493,491,493,368,492
493,492,493,381,491
492,490,494,418,492
494,492,494,479,491
492,491,493,545,490
493,492,494,620,490
494,492,492,642,491
494,492,494,631,490
494,492,492,584,490
493,493,494,478,492
493,491,493,408,492
493,491,494,370,491
492,491,494,367,492
493,490,494,372,490
493,491,493,392,493
494,493,493,445,491
493,491,493,506,491
494,492,492,581,492
492,492,495,636,493
493,491,493,638,491
494,493,495,623,491
492,491,495,536,491
493,491,493,437,491
492,492,493,394,492
493,493,494,366,491
493,491,494,367,491
494,491,492,378,491
495,491,491,411,492
493,491,492,470,490
492,491,493,537,490
493,492,493,613,491
492,491,493,643,491
492,492,494,634,490
493,493,494,591,490
494,494,494,490,491
494,492,493,414,490
494,492,492,373,489
492,492,493,366,492
492,490,494,371,492
493,491,494,384,491
492,492,493,439,491
493,490,493,499,491
494,491,493,571,490
493,493,494,635,492
494,492,493,640,492
495,491,492,628,490
492,492,495,551,493
494,492,494,445,491
493,491,493,397,491
492,491,493,366,492
492,491,494,365,490
492,492,494,375,490
493,489,492,405,490
494,492,493,464,491
493,492,493,527,491
494,492,492,610,491
495,492,492,641,491
493,491,494,636,491
494,490,492,599,492
495,493,493,503,491
493,492,493,418,491
493,491,493,380,490
492,492,495,365,492
492,491,494,372,491
494,491,494,381,490
491,491,493,431,491
493,491,493,493,491
493,490,492,559,492
492,493,493,630,491
492,491,494,639,492
494,491,492,629,490
493,493,495,564,491
494,492,493,457,491
494,492,492,401,491
494,492,494,366,491
492,490,492,365,493
494,493,493,375,491
492,491,493,398,491
492,491,493,455,492
493,491,494,517,491
493,490,493,600,490
493,493,493,640,491
492,492,493,640,492
494,490,492,613,492
496,492,492,516,491
494,492,493,424,490
493,491,493,385,491
494,494,493,365,491
492,491,494,369,491
492,492,493,379,489
492,492,494,423,491
492,491,494,484,491
493,490,493,550,490
494,492,492,626,491
493,491,492,642,492
493,490,493,631,492
493,490,493,576,491
494,493,493,469,491
494,492,492,406,491
494,492,494,368,489
492,493,494,366,490
494,493,493,373,490
494,491,494,394,490
494,490,492,449,490
492,491,493,513,491
492,491,493,588,492
