Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
0,0,0,0,0
0,0,0,0,0
0,0,44,0,0
0,0,94,0,0
0,0,187,0,0
0,0,275,0,0
0,0,306,0,0
0,0,297,0,0
0,0,275,0,0
0,0,233,0,0
0,0,153,1,0
0,0,86,2,0
0,0,31,0,0
0,0,0,0,0
0,0,0,0,0
0,44,0,0,0
0,94,0,0,0
0,187,0,0,0
0,275,0,0,0
0,306,0,0,0
0,297,0,0,0
0,275,0,0,0
0,233,0,0,0
0,153,1,0,0
Sensor0,Sensor1,Sensor2,Sensor3,Sensor4
0,0,0,18176,0
0,0,0,-30464,0
0,0,0,-6656,0
0,0,0,12800,1
0,0,0,14336,1
0,256,29184,256,0
0,0,14080,256,0
0,0,2048,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,6144,0,0
0,0,18176,0,0
0,0,-30464,0,0
0,0,-6656,0,0
0,0,12800,1,0
0,0,14336,1,-8192
132,0,0,0,0
90,0,0,0,0
72,0,0,0,0
74,0,0,0,0
92,0,0,0,0
129,0,0,0,0
