Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

492,491,619,491,493
491,495,533,491,494
492,493,434,9,492
592,491,493,491,494
633,489,492,492,495
4,400,491,492,491
492,456,491,492,490
493,514,492,493,490
492,592,491,493,491
494,633,489,492,492
495,630,492,494,491
1,492,456,491,492
490,493,514,492,493
490,492,592,491,493
491,494,633,489,492
492,495,630,492,494
491,492,607,490,493
494,493,518,492,495
492,493,426,491,493
492,492,388,490,494
493,493,372,491,494
491,493,374,491,495
491,492,386,489,492
492,495,424,492,493
491,492,481,491,494
491,492,545,491,492
490,493,616,491,492
491,492,636,490,494
493,495,625,489,493
490,492,577,490,494
493,493,471,490,493
492,493,408,490,494
492,492,375,492,492
490,493,371,491,494
491,494,379,489,493
490,491,398,492,492
490,492,447,491,492
491,493,508,491,492
492,492,582,491,492
491,494,630,491,493
490,493,633,490,494
493,492,616,490,495
494,493,530,491,494
493,494,433,491,493
491,492,392,492,495
493,495,370,490,493
490,492,373,493,492
491,492,382,492,492
491,494,416,490,492
491,493,474,490,493
492,492,536,489,492
492,492,615,492,494
492,493,636,491,494
492,492,628,492,495
494,493,586,492,495
492,494,483,491,495
492,492,412,490,493
492,494,376,492,493
490,492,369,491,492
492,494,377,490,492
492,494,396,491,495
490,494,440,490,493
491,493,501,492,493
492,492,572,490,493
493,493,628,491,494
492,492,634,492,492
492,494,619,492,495
490,492,540,490,493
492,492,442,490,494
491,492,394,491,493
491,492,369,491,492
492,494,373,489,492
491,491,383,491,494
493,494,410,491,492
490,492,466,490,493
492,493,527,491,494
494,492,607,491,495
491,492,634,490,494
491,493,627,492,493
493,495,593,490,493
491,493,494,491,494
492,493,415,490,492
491,494,380,489,495
491,491,371,489,494
492,493,378,491,493
490,493,391,490,494
492,492,435,490,493
492,493,494,490,493
491,493,560,489,492
491,491,626,492,494
493,493,635,492,492
491,494,621,491,492
491,494,554,490,493
492,493,454,491,493
491,493,402,492,494
490,494,370,489,493
490,493,373,491,495
492,491,382,491,495
492,491,407,492,494
492,492,461,491,493
491,493,518,491,493
491,493,601,491,495
493,494,634,490,494
493,494,629,490,494
494,495,603,490,494
494,493,509,492,495
493,493,421,490,493
492,494,386,492,495
491,491,372,492,493
490,493,376,492,493
491,493,387,490,495
493,492,426,491,493
491,493,487,491,494
491,493,553,489,492
492,494,619,489,493
493,493,636,490,494
493,492,626,491,492
491,494,566,492,495
493,493,462,491,493
491,492,404,492,493
491,492,370,492,493
491,493,370,490,492
491,491,381,492,494
492,495,400,489,493
491,493,454,491,493
491,492,512,491,493
492,492,590,491,494
493,492,633,491,493
493,494,631,494,493
490,493,612,491,494
491,494,519,492,493
491,492,430,491,493
492,494,389,490,493
491,492,373,491,494
493,492,376,490,492
491,494,386,491,495
491,491,422,491,494
491,492,478,490,493
491,492,543,491,493
490,493,616,490,494
492,493,634,490,494
492,492,628,490,493
493,495,577,490,494
494,494,475,490,494
493,493,410,491,493
491,493,374,490,495
493,495,370,490,493
490,492,379,492,493
491,492,396,493,492
491,493,445,492,492
491,493,506,491,492
492,493,577,492,493
491,492,632,490,493
492,492,633,491,494
492,491,619,490,495
493,492,532,491,493
492,492,435,492,494
493,493,393,490,492
491,492,369,491,493
491,494,371,489,492
493,494,382,489,492
492,495,414,492,493
491,492,471,490,493
492,493,534,490,491
491,491,612,491,495
491,492,636,492,493
491,493,627,492,492
494,493,588,491,493
493,494,486,491,494
492,493,412,490,493
492,494,376,489,492
492,493,370,490,494
493,492,378,491,492
491,490,394,491,495
492,495,439,490,493
491,493,499,491,493
490,493,566,492,492
490,493,626,490,494
491,492,635,489,493
492,494,621,493,494
491,495,545,491,494
492,493,445,491,493
492,492,396,491,494
493,492,372,491,494
491,494,371,490,494
491,492,381,490,494
493,493,407,492,492
490,493,462,491,493
491,493,523,489,492
491,494,605,492,493
491,492,635,491,494
492,494,628,490,495
491,492,596,492,496
492,492,499,491,495
492,493,418,492,493
492,493,382,492,493
490,492,371,491,494
491,494,375,491,492
492,493,387,490,493
494,493,432,490,493
492,492,492,492,492
492,491,559,491,492
491,495,622,493,493
490,492,634,492,493
490,493,622,492,493
492,494,559,492,493
492,494,458,491,494
492,493,400,489,493
491,492,372,492,492
493,492,373,490,495
493,492,381,491,494
493,491,405,491,492
491,493,457,490,494
491,492,516,490,493
492,493,595,491,492
490,493,632,490,493
492,494,629,489,493
493,492,608,493,494
493,493,512,491,494
491,493,423,491,494
492,492,388,492,495
492,492,371,492,494
491,493,376,489,493
493,493,385,493,492
490,492,427,491,494
491,493,485,491,492
491,493,549,490,493
493,494,618,490,494
493,492,636,492,492
492,494,623,493,495
492,492,570,489,494
493,493,467,491,494
492,492,405,491,493
492,493,371,491,492
492,492,373,491,494
492,494,378,489,494
491,492,401,489,493
493,493,451,490,493
492,492,510,490,494
491,492,586,490,492
491,495,633,492,495
490,493,632,490,494
490,494,613,491,492
491,494,524,491,494
491,493,432,491,492
491,492,393,492,493
492,495,371,492,492
491,493,377,491,494
492,491,386,492,495
491,491,419,492,494
492,492,477,491,493
491,494,541,491,493
490,493,612,491,494
492,493,637,489,493
493,494,627,490,495
493,495,581,490,495
494,494,480,492,494
491,493,409,490,494
491,494,373,490,492
492,492,373,492,493
490,492,378,491,493
491,493,395,491,492
492,492,446,490,492
491,492,502,491,493
492,492,576,489,492
492,494,631,491,494
493,492,633,491,494
492,491,618,490,492
491,492,538,492,495
492,494,438,490,493
491,493,395,492,492
490,492,370,492,492
491,494,372,490,493
491,494,383,492,494
490,491,413,490,493
492,492,470,491,493
492,493,532,492,494
491,491,610,492,495
491,492,635,492,493
493,493,629,491,492
490,493,586,489,495
493,493,489,490,493
491,493,413,490,493
492,494,379,489,493
493,494,371,491,492
491,491,379,492,495
491,494,389,490,494
491,492,439,492,493
490,492,497,492,493
490,492,564,491,494
492,492,628,490,492
492,494,635,491,494
490,494,623,490,494
494,494,551,491,495
492,494,448,490,494
493,493,400,491,494
492,495,370,490,494
490,492,372,490,494
493,493,382,491,491
489,493,406,491,492
490,493,462,491,493
491,494,525,491,493
490,494,602,490,493
489,494,635,491,494
491,492,631,492,494
491,492,600,493,496
492,493,504,492,493
492,494,419,492,492
491,493,384,490,495
494,494,369,489,492
491,494,376,490,493
492,494,387,489,493
494,493,431,491,492
492,493,490,491,492
491,494,555,491,494
490,492,625,492,493
490,494,634,491,493
491,494,622,490,492
491,495,567,492,495
493,494,459,491,494
492,492,403,491,493
493,494,372,489,493
492,492,372,491,495
493,492,381,491,492
492,495,402,492,493
489,492,454,490,493
492,493,516,491,491
490,493,592,491,492
490,494,632,490,492
493,492,632,492,493
493,493,608,490,493
490,493,515,491,493
493,493,427,491,494
491,492,389,492,495
491,491,372,490,492
493,494,376,492,492
490,492,386,490,495
491,495,423,490,492
491,494,482,491,492
492,493,545,489,492
492,494,617,490,492
