Sensor0,Sensor1,Sensor2,Sensor3,Sensor4

567,490,492,493,495
625,491,494,492,493
629,491,493,4,561
490,493,491,492,624
490,493,492,492,628
490,492,491,492,618
8,490,492,491,493
499,490,492,491,493
561,490,493,491,492
624,490,493,492,492
628,490,492,491,492
618,492,495,492,492
549,492,494,491,493
450,492,493,491,493
400,491,494,491,494
373,491,494,490,492
377,490,493,493,493
385,490,493,493,493
411,490,493,492,493
463,492,493,492,493
523,491,494,491,495
598,490,492,490,492
629,491,492,491,493
624,491,492,491,494
593,493,492,490,492
503,492,493,492,494
420,492,493,492,493
387,491,494,493,493
374,491,494,493,492
381,492,493,492,492
393,492,494,490,494
431,490,492,491,492
490,491,492,491,492
554,491,492,490,493
617,490,492,492,494
630,489,492,492,493
619,492,494,490,492
561,491,493,493,493
459,492,493,492,492
404,491,494,492,492
375,491,495,490,491
376,492,493,494,492
383,491,492,492,493
404,490,493,491,492
456,491,493,491,493
513,490,492,493,494
590,489,492,492,493
627,492,492,491,491
627,492,494,493,495
603,491,495,491,492
515,492,494,493,492
427,491,493,491,493
391,492,492,490,492
375,491,494,493,491
378,489,492,492,492
390,493,494,493,493
426,490,492,492,493
482,490,492,492,493
546,491,493,491,493
612,490,493,491,492
632,490,493,492,493
621,492,492,490,492
571,492,493,492,493
471,491,493,492,493
411,491,494,491,494
376,490,492,491,493
375,491,494,492,492
384,491,494,492,491
404,491,494,491,492
451,491,492,491,492
508,491,493,491,492
580,490,493,492,493
627,491,492,492,494
626,490,494,494,494
612,490,493,494,494
529,491,493,491,492
434,492,493,493,492
396,490,492,491,494
376,492,494,491,492
377,492,493,491,493
387,492,492,490,493
420,491,495,492,493
473,490,493,492,492
537,492,492,492,494
607,490,493,492,492
632,490,494,492,492
624,492,492,491,494
578,493,495,492,493
481,491,493,491,492
413,492,493,491,492
377,492,492,491,493
372,490,492,492,492
383,493,494,493,493
396,490,492,492,493
443,491,493,492,492
501,491,493,491,491
568,491,494,491,492
626,492,493,491,493
629,491,494,492,493
614,492,492,493,492
542,492,493,492,493
443,491,493,492,493
397,490,493,494,494
374,490,493,491,493
375,492,495,492,492
384,490,493,492,491
414,492,493,491,492
467,491,493,492,493
526,491,492,491,492
604,491,494,492,494
629,490,493,491,493
625,491,494,493,493
588,491,495,493,493
495,492,494,493,493
419,492,492,491,493
385,493,495,491,494
373,490,493,491,492
380,491,492,490,493
389,491,492,491,494
435,490,492,490,493
494,490,493,490,492
558,490,493,493,493
622,491,492,491,491
631,492,494,491,491
619,492,495,491,491
556,492,493,491,493
453,491,493,491,492
401,490,494,492,492
375,491,492,492,494
375,490,493,492,493
384,490,493,494,493
408,491,492,490,492
460,490,493,492,493
517,490,492,490,492
595,492,493,490,492
629,491,492,492,493
623,490,492,492,492
601,492,492,493,493
507,491,494,492,493
423,491,493,492,492
389,491,494,493,492
374,491,495,492,492
381,492,493,491,494
389,490,492,490,492
428,491,492,492,493
487,491,492,490,492
548,490,492,491,494
615,490,493,492,493
